1,1,"VIHUELA SOLA",1
1,2,"VOZ (EN CIFRA) Y VIHUELA",2
2,1,"VIHUELA SOLA",1
2,2,"VOZ (EN CIFRA) Y VIHUELA",2
3,1,"VIHUELA SOLA",1
3,2,"VOZ (EN CIFRA) Y VIHUELA",2
3,3,"GUITARRA SOLA",3
3,4,"VOZ (EN NOTACIÓN MENSURAL) Y VIHUELA",4
3,5,"ARPA U ÓRGANO SOLO",5
4,1,"VIHUELA SOLA",1
4,2,"VOZ (EN CIFRA) Y VIHUELA",2
4,3,"VOZ (EN NOTACIÓN MENSURAL) Y VIHUELA",4
4,4,"DOS VIHUELAS",6
4,5,"DOS VIHUELAS O VIHUELA Y GUITARRA",7
5,1,"VIHUELA SOLA",1
5,2,"VOZ (EN CIFRA) Y VIHUELA",2
5,3,"VOZ (EN NOTACIÓN MENSURAL) Y VIHUELA",4
6,1,"VIHUELA SOLA",1
6,2,"VOZ (EN CIFRA) Y VIHUELA",2
6,3,"DOS VOCES (UNA EN NOTACIÓN MENSURAL Y OTRA EN CIFRA) Y VIHUELA",8
6,4,"VOZ (EN NOTACIÓN MENSURAL) Y VIHUELA",4
6,5,"VOZ (EN CIFRA; ALGUNOS COMPASES EN NOTACIÓN MENSURAL) Y VIHUELA",9
6,6,"VOZ (EN CIFRA) Y VIHUELA DE CINCO ÓRDENES",10
6,7,"VIHUELA DE CINCO ÓRDENES SOLA",11
6,8,"GUITARRA SOLA",3
6,9,"VOZ (EN CIFRA) Y GUITARRA",12
7,1,"VIHUELA SOLA",1
7,2,"VOZ (EN CIFRA) Y VIHUELA",2
7,3,"VIHUELA SOLA (CON CIFRAS SEÑALADAS CON PUNTILLOS, PARA CANTAR OPCIONALMENTE)",13
8,1,"VIHUELA SOLA",1
